iso2c,year,cpi
VC,2013,106.719629261834
VC,2014,106.926514399206
SD,1960,0.00127555749941633
SD,1961,0.00138730286035603
SD,1962,0.00141037192237615
SD,1963,0.00147649343772611
SD,1964,0.00153482730793284
SD,1965,0.00149728498088643
SD,1966,0.00152292543517231
SD,1967,0.00169065367910413
SD,1968,0.00152101525806077
SD,1969,0.00171276765256921
SD,1970,0.00178175443358208
SD,1971,0.00180498261394193
SD,1972,0.00204964350767226
SD,1973,0.00236301530617823
SD,1974,0.00298113526736654
SD,1975,0.00369550613161119
SD,1976,0.00375740158226926
SD,1977,0.00439902790562232
SD,1978,0.00524497876160179
SD,1979,0.00687818411360671
SD,1980,0.00862196673140905
SD,1981,0.0107408775074598
SD,1982,0.0135026664249682
SD,1983,0.0176328316202158
SD,1984,0.023653798514914
SD,1985,0.0343943978405871
SD,1986,0.0428050285201337
SD,1987,0.0516045601250599
SD,1988,0.0849930009053316
SD,1989,0.141700604728688
SD,1990,0.23403002361961
SD,1991,0.523239943199222
SD,1992,1.1386981474411
SD,1993,2.29311515470757
SD,1994,4.93932748973565
SD,1995,8.31660219120279
SD,1996,19.3630273707387
SD,1997,28.3959421369761
SD,1998,33.2530840740254
SD,1999,38.5718303525107
SD,2000,41.6703268709279
SD,2001,43.7002829453676
SD,2002,47.34218458074
SD,2003,50.9925940668067
SD,2004,55.2851538917053
SD,2005,59.9936435832075
SD,2006,64.3112281749724
SD,2007,69.4407068402747
SD,2008,79.3752502275572
SD,2009,88.3038120521676
SD,2010,100
SD,2011,122.112120739557
SD,2012,167.77395167013
SD,2013,218.036689519564
SD,2014,298.509155817363
SR,1960,0.00815579898115427
SR,1961,0.00829521434835349
SR,1962,0.00846948355735251
SR,1963,0.00864375276635153
SR,1964,0.00900971810524948
SR,1965,0.0091839873142485
SR,1966,0.00961966033674606
SR,1967,0.0106478486698403
SR,1968,0.0106652755907402
SR,1969,0.0118677331328335
SR,1970,0.0121748751205382
SR,1971,0.0122011182650678
SR,1972,0.0125957374012014
SR,1973,0.0142257282663435
SR,1974,0.0166264900057768
SR,1975,0.0180309842217399
SR,1976,0.0198466210351817
SR,1977,0.0217779220781837
SR,1978,0.0236995034380304
SR,1979,0.0272170567720039
SR,1980,0.0310573035867796
SR,1981,0.0337884735001898
SR,1982,0.0362470608977803
SR,1983,0.0378462116572565
SR,1984,0.0392422617186709
SR,1985,0.0435063074269267
SR,1986,0.051636749055654
SR,1987,0.0792071343420248
SR,1988,0.0849997800409565
SR,1989,0.085653978078924
SR,1990,0.104275105238066
SR,1991,0.131352704093876
SR,1992,0.188709410177577
SR,1993,0.459529225728419
SR,1994,2.15279364183336
SR,1995,7.22388883551593
SR,1996,7.17318528072032
SR,1997,7.68571737493662
SR,1998,9.14411062245695
SR,1999,18.1760313663191
SR,2000,28.9729005448752
SR,2001,40.1524673584106
SR,2002,46.3871011407997
SR,2003,57.0571698457675
SR,2004,62.7550843306931
SR,2005,68.9665856499922
SR,2006,76.7469160613831
SR,2007,81.678887275934
SR,2008,93.6588462642354
SR,2009,93.5061937370165
SR,2010,100
SR,2011,117.711779641456
SR,2012,123.605447410941
SR,2013,126.029083634685
